hotel,arrival_date,market_segment,country,lead_time,nights,adr,booking_value,cancel_probability,expected_loss,deposit_type,customer_type
Resort Hotel,2017-04-09,Online TA,DEU,97,14,187.64,2626.96,0.636364,1671.70277344,No Deposit,Transient
Resort Hotel,2017-04-09,Groups,PRT,124,14,120.0,1680.0,0.924051,1552.4056799999998,No Deposit,Contract
Resort Hotel,2017-04-09,Groups,PRT,124,14,80.0,1120.0,0.924051,1034.93712,No Deposit,Contract
Resort Hotel,2017-04-09,Groups,PRT,124,7,120.0,840.0,1.0,840.0,Non Refund,Transient
City Hotel,2017-04-11,Online TA,BRA,162,7,155.06,1085.42,0.973934,1057.12744228,No Deposit,Transient
City Hotel,2017-04-12,Online TA,LBN,41,6,187.0,1122.0,0.973934,1092.753948,No Deposit,Transient
City Hotel,2017-04-12,Online TA,ITA,178,5,189.0,945.0,0.947977,895.838265,No Deposit,Transient
City Hotel,2017-04-12,Online TA,BRA,308,8,109.8,878.4,0.973934,855.5036256,No Deposit,Transient
City Hotel,2017-04-13,Online TA,USA,257,8,201.66,1613.28,0.680154,1097.2788451200001,No Deposit,Transient
Resort Hotel,2017-04-15,Offline TA/TO,PRT,86,7,203.21,1422.47,0.737968,1049.73734096,No Deposit,Transient
City Hotel,2017-04-16,Online TA,ISR,220,7,168.0,1176.0,0.95542,1123.57392,No Deposit,Transient
Resort Hotel,2017-04-16,Online TA,GBR,87,7,178.0,1246.0,0.737968,919.5081279999999,No Deposit,Transient
City Hotel,2017-04-16,Online TA,ISR,302,7,183.0,1281.0,0.680154,871.277274,No Deposit,Transient
Resort Hotel,2017-04-18,Online TA,ESP,24,5,223.0,1115.0,0.737968,822.8343199999999,No Deposit,Transient
Resort Hotel,2017-04-19,Online TA,BRA,168,8,192.5,1540.0,0.737968,1136.47072,No Deposit,Transient
City Hotel,2017-04-19,Online TA,BRA,313,8,109.8,878.4,0.973934,855.5036256,No Deposit,Transient
City Hotel,2017-04-21,Online TA,EST,65,8,196.2,1569.6,0.973934,1528.6868063999998,No Deposit,Transient
City Hotel,2017-04-21,Online TA,EST,93,8,184.5,1476.0,0.77176,1139.11776,No Deposit,Transient
City Hotel,2017-04-21,Online TA,GBR,39,7,147.86,1035.02,0.77176,798.7870352,No Deposit,Transient
City Hotel,2017-04-22,Online TA,FRA,59,7,198.0,1386.0,0.835196,1157.581656,No Deposit,Transient
Resort Hotel,2017-04-22,Groups,PRT,239,7,158.0,1106.0,0.924051,1022.000406,No Deposit,Transient-Party
Resort Hotel,2017-04-22,Groups,PRT,239,7,158.0,1106.0,0.924051,1022.000406,No Deposit,Transient-Party
Resort Hotel,2017-04-22,Groups,PRT,239,7,158.0,1106.0,0.924051,1022.000406,No Deposit,Transient-Party
Resort Hotel,2017-04-22,Groups,PRT,239,7,158.0,1106.0,0.924051,1022.000406,No Deposit,Transient-Party
Resort Hotel,2017-04-22,Groups,PRT,239,7,158.0,1106.0,0.924051,1022.000406,No Deposit,Transient-Party
City Hotel,2017-04-22,Online TA,ITA,58,4,230.0,920.0,0.890173,818.95916,No Deposit,Transient
City Hotel,2017-04-22,Online TA,ITA,58,4,230.0,920.0,0.890173,818.95916,No Deposit,Transient
City Hotel,2017-04-23,Online TA,GBR,35,4,224.0,896.0,0.972414,871.282944,No Deposit,Transient
City Hotel,2017-04-24,Online TA,FRA,28,5,224.0,1120.0,0.77176,864.3712,No Deposit,Transient
City Hotel,2017-04-24,Online TA,MAR,28,4,224.0,896.0,0.947977,849.387392,No Deposit,Transient
City Hotel,2017-04-24,Online TA,BRA,66,5,171.0,855.0,0.973934,832.71357,No Deposit,Transient
City Hotel,2017-04-25,Direct,BGD,6,7,259.29,1815.03,0.542254,984.20727762,No Deposit,Transient
City Hotel,2017-04-29,Online TA,RUS,165,7,130.5,913.5,0.973934,889.688709,No Deposit,Transient
City Hotel,2017-04-30,Online TA,AGO,25,12,150.42,1805.04,1.0,1805.04,No Deposit,Transient
Resort Hotel,2017-04-30,Online TA,PRT,190,14,117.0,1638.0,0.924051,1513.595538,No Deposit,Transient
City Hotel,2017-05-01,Online TA,AGO,28,14,266.43,3730.02,1.0,3730.02,No Deposit,Transient
City Hotel,2017-05-01,Corporate,PRT,12,14,130.0,1820.0,0.62963,1145.9266,No Deposit,Transient
City Hotel,2017-05-01,Online TA,PRT,57,6,212.8,1276.8,0.848606,1083.5001407999998,No Deposit,Transient
Resort Hotel,2017-05-01,Online TA,GBR,37,5,213.0,1065.0,0.809524,862.14306,No Deposit,Transient
City Hotel,2017-05-02,Online TA,FRA,114,12,129.0,1548.0,0.773179,1196.8810919999999,No Deposit,Transient
City Hotel,2017-05-02,Online TA,BRA,117,13,110.77,1440.01,0.792793,1141.6298479299999,No Deposit,Transient
Resort Hotel,2017-05-03,Groups,PRT,65,12,125.0,1500.0,1.0,1500.0,Non Refund,Transient
Resort Hotel,2017-05-03,Groups,PRT,65,12,125.0,1500.0,1.0,1500.0,Non Refund,Transient
Resort Hotel,2017-05-03,Groups,PRT,65,12,125.0,1500.0,1.0,1500.0,Non Refund,Transient
Resort Hotel,2017-05-03,Groups,PRT,65,12,125.0,1500.0,1.0,1500.0,Non Refund,Transient
Resort Hotel,2017-05-03,Groups,PRT,65,12,95.0,1140.0,1.0,1140.0,Non Refund,Transient
Resort Hotel,2017-05-03,Groups,PRT,65,12,95.0,1140.0,1.0,1140.0,Non Refund,Transient
Resort Hotel,2017-05-03,Groups,PRT,65,12,95.0,1140.0,1.0,1140.0,Non Refund,Transient
Resort Hotel,2017-05-03,Groups,PRT,65,12,95.0,1140.0,1.0,1140.0,Non Refund,Transient
City Hotel,2017-05-03,Online TA,CZE,59,4,307.0,1228.0,0.773179,949.463812,No Deposit,Transient
Resort Hotel,2017-05-04,Online TA,PRT,194,14,139.51,1953.14,0.733591,1432.80592574,No Deposit,Transient
City Hotel,2017-05-04,Online TA,AGO,28,6,152.33,913.98,0.936396,855.8472160800001,No Deposit,Transient
City Hotel,2017-05-04,Online TA,CHN,49,7,120.69,844.83,0.953488,805.53526704,No Deposit,Transient
City Hotel,2017-05-05,Online TA,RUS,56,8,132.25,1058.0,0.953488,1008.790304,No Deposit,Transient
Resort Hotel,2017-05-05,Online TA,GBR,330,18,75.0,1350.0,0.672515,907.8952499999999,No Deposit,Transient
City Hotel,2017-05-06,Online TA,NOR,32,7,267.86,1875.02,0.669021,1254.42775542,No Deposit,Transient
City Hotel,2017-05-06,Online TA,BRA,167,7,174.21,1219.47,0.936396,1141.90683012,No Deposit,Transient
City Hotel,2017-05-06,Online TA,DEU,91,7,164.57,1151.99,0.773179,890.69447621,No Deposit,Transient
City Hotel,2017-05-06,Online TA,DEU,99,8,139.5,1116.0,0.773179,862.867764,No Deposit,Transient
City Hotel,2017-05-06,Online TA,DEU,99,8,139.5,1116.0,0.773179,862.867764,No Deposit,Transient
Resort Hotel,2017-05-06,Online TA,BRA,86,10,155.0,1550.0,0.537791,833.57605,No Deposit,Transient
City Hotel,2017-05-06,Online TA,DEU,91,7,164.57,1151.99,0.700855,807.3779514500001,No Deposit,Transient
City Hotel,2017-05-07,Online TA,GBR,105,6,223.33,1339.98,0.870968,1167.07970064,No Deposit,Transient
City Hotel,2017-05-07,Online TA,THA,32,5,225.2,1126.0,0.936396,1054.381896,No Deposit,Transient
City Hotel,2017-05-07,Online TA,PRT,12,10,144.8,1448.0,0.565657,819.071336,No Deposit,Transient
City Hotel,2017-05-08,Online TA,AGO,50,6,274.5,1647.0,0.953488,1570.394736,No Deposit,Transient
City Hotel,2017-05-08,Offline TA/TO,PRT,62,7,228.21,1597.47,0.584615,933.90492405,No Deposit,Transient
City Hotel,2017-05-08,Offline TA/TO,PRT,62,7,228.21,1597.47,0.584615,933.90492405,No Deposit,Transient
City Hotel,2017-05-08,Offline TA/TO,PRT,62,7,228.21,1597.47,0.584615,933.90492405,No Deposit,Transient
City Hotel,2017-05-10,Online TA,PRT,18,11,294.55,3240.05,0.565657,1832.75696285,No Deposit,Transient
City Hotel,2017-05-10,Online TA,CHN,22,9,204.0,1836.0,0.953488,1750.603968,No Deposit,Transient
City Hotel,2017-05-10,Online TA,CHN,19,9,201.0,1809.0,0.953488,1724.859792,No Deposit,Transient
City Hotel,2017-05-10,Online TA,FRA,22,8,186.25,1490.0,0.773179,1152.0367099999999,No Deposit,Transient
City Hotel,2017-05-10,Online TA,AGO,16,7,181.43,1270.01,0.817204,1037.85725204,No Deposit,Transient
Resort Hotel,2017-05-10,Online TA,PRT,93,14,88.2,1234.8,0.751113,927.4743324,No Deposit,Transient
City Hotel,2017-05-12,Direct,AGO,21,9,290.56,2615.04,0.936396,2448.71299584,No Deposit,Transient
City Hotel,2017-05-12,Online TA,PRT,38,9,321.94,2897.46,0.486726,1410.26911596,No Deposit,Transient
City Hotel,2017-05-12,Online TA,PRT,38,9,244.86,2203.74,0.536481,1182.26463894,No Deposit,Transient
City Hotel,2017-05-12,Online TA,BRA,19,5,262.0,1310.0,0.848606,1111.6738599999999,No Deposit,Transient
City Hotel,2017-05-13,Online TA,FRA,82,7,242.86,1700.02,0.773179,1314.4197635799999,No Deposit,Transient
City Hotel,2017-05-13,Online TA,ITA,8,5,254.0,1270.0,0.773179,981.93733,No Deposit,Transient
City Hotel,2017-05-13,Online TA,DEU,83,7,146.57,1025.99,0.773179,793.2739222099999,No Deposit,Transient
City Hotel,2017-05-14,Online TA,BRA,70,6,192.0,1152.0,0.936396,1078.728192,No Deposit,Transient
City Hotel,2017-05-14,Online TA,BRA,98,8,121.88,975.04,0.953488,929.68893952,No Deposit,Transient
City Hotel,2017-05-15,Online TA,BEL,101,10,120.6,1206.0,0.773179,932.4538739999999,No Deposit,Transient
City Hotel,2017-05-15,Online TA,CHN,19,4,216.0,864.0,0.953488,823.813632,No Deposit,Transient
City Hotel,2017-05-16,Online TA,EGY,57,8,144.0,1152.0,0.936396,1078.728192,No Deposit,Transient
City Hotel,2017-05-16,Online TA,PRT,12,7,175.71,1229.97,0.669021,822.87575937,No Deposit,Transient
City Hotel,2017-05-16,Online TA,PRT,12,7,175.71,1229.97,0.669021,822.87575937,No Deposit,Transient
Resort Hotel,2017-05-16,Online TA,IRL,72,7,173.0,1211.0,0.672515,814.415665,No Deposit,Transient
City Hotel,2017-05-18,Online TA,SWE,226,14,118.29,1656.06,0.792793,1312.91277558,No Deposit,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
City Hotel,2017-05-19,Groups,PRT,165,4,225.0,900.0,1.0,900.0,Non Refund,Transient
Resort Hotel,2017-05-19,Online TA,PRT,98,8,123.0,984.0,0.846154,832.6155359999999,No Deposit,Transient
Resort Hotel,2017-05-20,Online TA,GBR,61,7,213.0,1491.0,0.873239,1301.999349,No Deposit,Transient
City Hotel,2017-05-20,Online TA,FRA,183,7,175.11,1225.77,0.792793,971.7818756099999,No Deposit,Transient
City Hotel,2017-05-20,Online TA,DNK,210,6,197.1,1182.6,0.773179,914.3614853999999,No Deposit,Transient
City Hotel,2017-05-20,Online TA,DNK,210,6,197.1,1182.6,0.773179,914.3614853999999,No Deposit,Transient
City Hotel,2017-05-20,Online TA,CHN,49,4,243.0,972.0,0.936396,910.176912,No Deposit,Transient
Resort Hotel,2017-05-21,Online TA,ITA,249,10,195.4,1954.0,0.782609,1529.217986,No Deposit,Transient
Resort Hotel,2017-05-22,Online TA,GBR,40,7,183.57,1284.99,0.733591,942.65709909,No Deposit,Transient
City Hotel,2017-05-24,Online TA,PRT,73,4,317.5,1270.0,0.792793,1006.8471099999999,No Deposit,Transient
City Hotel,2017-05-24,Online TA,PRT,61,4,266.96,1067.84,0.848606,906.1754310399999,No Deposit,Transient
Resort Hotel,2017-05-27,Online TA,GBR,230,8,161.5,1292.0,0.672515,868.88938,No Deposit,Transient
Resort Hotel,2017-05-28,Online TA,GBR,140,8,215.5,1724.0,0.873239,1505.464036,No Deposit,Transient
Resort Hotel,2017-05-28,Online TA,BEL,132,10,160.0,1600.0,0.537791,860.4656,No Deposit,Transient
City Hotel,2017-05-28,Online TA,BRA,87,5,189.0,945.0,0.870968,823.06476,No Deposit,Transient
Resort Hotel,2017-05-29,Online TA,PRT,72,9,158.33,1424.97,0.8,1139.976,Refundable,Transient
Resort Hotel,2017-05-29,Online TA,DEU,97,6,225.5,1353.0,0.672515,909.912795,No Deposit,Transient
City Hotel,2017-05-30,Online TA,FRA,70,5,258.0,1290.0,0.773179,997.40091,No Deposit,Transient
City Hotel,2017-06-01,Direct,ARE,24,14,143.57,2009.98,0.744681,1496.7939163800002,No Deposit,Transient
Resort Hotel,2017-06-01,Online TA,GBR,321,14,143.0,2002.0,0.58209,1165.34418,No Deposit,Transient
Resort Hotel,2017-06-02,Online TA,GBR,248,14,207.0,2898.0,0.76873,2227.77954,No Deposit,Transient
Resort Hotel,2017-06-02,Online TA,LUX,132,14,172.0,2408.0,0.579439,1395.2891120000002,No Deposit,Transient
Resort Hotel,2017-06-02,Online TA,KAZ,43,10,223.0,2230.0,0.58209,1298.0607,No Deposit,Transient
Resort Hotel,2017-06-02,Online TA,PRT,278,8,135.9,1087.2,0.846535,920.3528520000001,No Deposit,Transient
Resort Hotel,2017-06-03,Online TA,GBR,244,14,212.0,2968.0,0.710744,2109.4881920000003,No Deposit,Transient
Resort Hotel,2017-06-03,Online TA,SWE,79,10,258.0,2580.0,0.76873,1983.3234,No Deposit,Transient
Resort Hotel,2017-06-03,Online TA,PRT,141,8,170.0,1360.0,0.710744,966.61184,No Deposit,Transient
Resort Hotel,2017-06-03,Online TA,PRT,141,8,170.0,1360.0,0.710744,966.61184,No Deposit,Transient
Resort Hotel,2017-06-03,Offline TA/TO,PRT,219,10,98.4,984.0,0.846535,832.99044,No Deposit,Contract
City Hotel,2017-06-04,Online TA,BRA,82,7,189.0,1323.0,0.914894,1210.404762,No Deposit,Transient
Resort Hotel,2017-06-05,Offline TA/TO,PRT,222,14,102.85,1439.9,0.846535,1218.9257465,No Deposit,Contract
City Hotel,2017-06-05,Online TA,POL,76,5,250.0,1250.0,0.772947,966.18375,No Deposit,Transient
City Hotel,2017-06-05,Online TA,DEU,83,9,153.0,1377.0,0.6875,946.6875,No Deposit,Transient
Resort Hotel,2017-06-05,Online TA,BEL,42,7,230.0,1610.0,0.58209,937.1649,No Deposit,Transient
City Hotel,2017-06-05,Online TA,BEL,154,10,126.0,1260.0,0.6875,866.25,No Deposit,Transient
Resort Hotel,2017-06-06,Online TA,PRT,257,21,93.6,1965.6,0.893939,1757.1264984,No Deposit,Transient
Resort Hotel,2017-06-06,Offline TA/TO,PRT,223,21,93.5,1963.5,0.893939,1755.2492265,No Deposit,Contract
City Hotel,2017-06-06,Online TA,BRA,307,10,193.5,1935.0,0.772947,1495.6524450000002,No Deposit,Transient
City Hotel,2017-06-07,Online TA,FRA,96,7,178.2,1247.4,0.744681,928.9150794000001,No Deposit,Transient
Resort Hotel,2017-06-08,Offline TA/TO,PRT,288,14,78.4,1097.6,0.846535,929.1568159999999,No Deposit,Transient
Resort Hotel,2017-06-08,Online TA,IRL,197,8,180.0,1440.0,0.585185,842.6664,No Deposit,Transient
Resort Hotel,2017-06-09,Online TA,PRT,98,6,184.16,1104.96,0.849339,938.4856214399999,No Deposit,Transient
City Hotel,2017-06-09,Online TA,DEU,44,10,225.0,2250.0,0.414027,931.56075,No Deposit,Transient
Resort Hotel,2017-06-09,Online TA,PRT,76,6,160.0,960.0,0.846535,812.6736000000001,No Deposit,Transient
Resort Hotel,2017-06-10,Online TA,PRT,155,6,233.0,1398.0,0.846535,1183.45593,No Deposit,Transient
Resort Hotel,2017-06-10,Online TA,PRT,236,11,113.68,1250.48,0.846535,1058.5750868,No Deposit,Transient-Party
Resort Hotel,2017-06-10,Online TA,PRT,118,7,196.0,1372.0,0.76873,1054.69756,No Deposit,Transient
Resort Hotel,2017-06-10,Online TA,PRT,58,7,177.71,1243.97,0.846535,1053.06414395,No Deposit,Transient
City Hotel,2017-06-10,Online TA,ESP,101,7,184.63,1292.41,0.772947,998.9644322700001,No Deposit,Transient
Resort Hotel,2017-06-10,Online TA,GBR,131,7,180.0,1260.0,0.76873,968.5998000000001,No Deposit,Transient
Resort Hotel,2017-06-10,Online TA,IRL,306,14,107.1,1499.4,0.579439,868.8108366000001,No Deposit,Transient-Party
Resort Hotel,2017-06-10,Online TA,IRL,306,14,107.1,1499.4,0.579439,868.8108366000001,No Deposit,Transient-Party
City Hotel,2017-06-11,Online TA,FRA,40,6,231.5,1389.0,0.744681,1034.361909,No Deposit,Transient
Resort Hotel,2017-06-11,Offline TA/TO,PRT,41,11,157.5,1732.5,0.585185,1013.8330124999999,No Deposit,Transient
Resort Hotel,2017-06-11,Online TA,PRT,140,6,172.0,1032.0,0.76873,793.3293600000001,No Deposit,Transient
Resort Hotel,2017-06-12,Offline TA/TO,PRT,230,14,93.6,1310.4,0.76873,1007.3437920000001,No Deposit,Contract
Resort Hotel,2017-06-12,Offline TA/TO,PRT,216,14,93.6,1310.4,0.76873,1007.3437920000001,No Deposit,Contract
City Hotel,2017-06-12,Online TA,BGR,129,7,149.0,1043.0,0.914894,954.234442,No Deposit,Transient
Resort Hotel,2017-06-12,Offline TA/TO,PRT,271,8,137.7,1101.6,0.76873,846.8329679999999,No Deposit,Transient
Resort Hotel,2017-06-12,Online TA,DEU,120,6,196.0,1176.0,0.710744,835.8349440000001,No Deposit,Transient
City Hotel,2017-06-12,Online TA,ISL,133,7,132.43,927.01,0.859155,796.44527655,No Deposit,Transient
City Hotel,2017-06-12,Online TA,BGR,129,7,132.43,927.01,0.859155,796.44527655,No Deposit,Transient
Resort Hotel,2017-06-13,Online TA,GBR,91,7,258.0,1806.0,0.76873,1388.32638,No Deposit,Transient
Resort Hotel,2017-06-13,Offline TA/TO,PRT,50,9,162.0,1458.0,0.76873,1120.80834,No Deposit,Transient
Resort Hotel,2017-06-14,Offline TA/TO,PRT,292,27,49.95,1348.65,0.893939,1205.6108323500002,No Deposit,Contract
Resort Hotel,2017-06-14,Offline TA/TO,PRT,218,14,86.7,1213.8,0.76873,933.084474,No Deposit,Contract
City Hotel,2017-06-15,Online TA,BGD,112,6,225.0,1350.0,0.914894,1235.1069,No Deposit,Transient
Resort Hotel,2017-06-15,Online TA,DEU,223,9,170.0,1530.0,0.710744,1087.43832,No Deposit,Transient
Resort Hotel,2017-06-15,Online TA,DEU,223,9,170.0,1530.0,0.710744,1087.43832,No Deposit,Transient
Resort Hotel,2017-06-15,Online TA,PRT,125,7,196.0,1372.0,0.76873,1054.69756,No Deposit,Transient
City Hotel,2017-06-15,Online TA,SWE,164,7,160.89,1126.23,0.744681,838.6820826300001,No Deposit,Transient
City Hotel,2017-06-16,Online TA,AGO,157,14,130.5,1827.0,1.0,1827.0,No Deposit,Transient
Resort Hotel,2017-06-16,Online TA,PRT,158,7,154.0,1078.0,0.846535,912.56473,No Deposit,Transient
Resort Hotel,2017-06-16,Direct,PRT,107,8,185.0,1480.0,0.585185,866.0737999999999,No Deposit,Transient
City Hotel,2017-06-16,Online TA,ITA,67,4,250.0,1000.0,0.839869,839.869,No Deposit,Transient
Resort Hotel,2017-06-16,Online TA,BRA,36,4,261.0,1044.0,0.76873,802.55412,No Deposit,Transient
City Hotel,2017-06-17,Online TA,FRA,89,7,250.0,1750.0,0.744681,1303.19175,No Deposit,Transient
City Hotel,2017-06-17,Online TA,ROU,48,7,250.0,1750.0,0.659122,1153.4635,No Deposit,Transient
City Hotel,2017-06-17,Online TA,AGO,10,7,218.0,1526.0,0.744681,1136.383206,No Deposit,Transient
Resort Hotel,2017-06-17,Offline TA/TO,PRT,326,14,86.7,1213.8,0.846535,1027.524183,No Deposit,Transient
Resort Hotel,2017-06-17,Offline TA/TO,PRT,326,14,86.7,1213.8,0.846535,1027.524183,No Deposit,Transient
Resort Hotel,2017-06-17,Direct,PRT,136,8,213.71,1709.68,0.575758,984.36193744,No Deposit,Transient
City Hotel,2017-06-17,Online TA,MAR,191,12,130.5,1566.0,0.594595,931.13577,No Deposit,Transient
City Hotel,2017-06-17,Online TA,CHE,93,7,178.2,1247.4,0.744681,928.9150794000001,No Deposit,Transient
Resort Hotel,2017-06-17,Online TA,PRT,155,6,180.0,1080.0,0.846535,914.2578000000001,No Deposit,Transient
Resort Hotel,2017-06-17,Offline TA/TO,PRT,277,10,98.4,984.0,0.893939,879.635976,No Deposit,Contract
Resort Hotel,2017-06-17,Online TA,IRL,112,7,158.0,1106.0,0.76873,850.21538,No Deposit,Transient
Resort Hotel,2017-06-17,Online TA,ITA,23,8,142.5,1140.0,0.710744,810.2481600000001,No Deposit,Transient
Resort Hotel,2017-06-18,Online TA,IRL,45,6,203.67,1222.02,0.846535,1034.4827007000001,No Deposit,Transient
City Hotel,2017-06-18,Online TA,PRT,34,8,161.5,1292.0,0.744681,962.1278520000001,No Deposit,Transient
Resort Hotel,2017-06-18,Offline TA/TO,PRT,285,21,49.95,1048.95,0.846535,887.9728882500001,No Deposit,Contract
Resort Hotel,2017-06-19,Online TA,RUS,166,9,228.0,2052.0,0.846535,1737.0898200000001,No Deposit,Transient
Resort Hotel,2017-06-19,Online TA,PRT,98,5,258.0,1290.0,0.846535,1092.03015,No Deposit,Transient
City Hotel,2017-06-19,Online TA,NLD,167,6,189.0,1134.0,0.744681,844.468254,No Deposit,Transient
City Hotel,2017-06-19,Direct,AGO,34,5,191.0,955.0,0.875,835.625,No Deposit,Transient
City Hotel,2017-06-20,Direct,IRN,19,13,277.15,3602.95,0.659122,2374.7836098999996,No Deposit,Transient
City Hotel,2017-06-20,Direct,IRN,18,10,276.9,2769.0,0.594595,1646.433555,No Deposit,Transient
Resort Hotel,2017-06-20,Online TA,NGA,78,6,228.0,1368.0,0.846535,1158.05988,No Deposit,Transient
Resort Hotel,2017-06-20,Online TA,DEU,213,10,180.0,1800.0,0.585185,1053.3329999999999,No Deposit,Transient
Resort Hotel,2017-06-21,Offline TA/TO,PRT,181,19,117.45,2231.55,0.76873,1715.4594315000002,No Deposit,Transient
City Hotel,2017-06-21,Online TA,POL,164,8,246.38,1971.04,0.772947,1523.50945488,No Deposit,Transient
City Hotel,2017-06-22,Online TA,FIN,109,7,162.0,1134.0,0.744681,844.468254,No Deposit,Transient
Resort Hotel,2017-06-23,Online TA,PRT,236,14,138.0,1932.0,0.846535,1635.5056200000001,No Deposit,Transient
Resort Hotel,2017-06-23,Online TA,POL,205,9,180.0,1620.0,0.58209,942.9858,No Deposit,Transient
City Hotel,2017-06-23,Online TA,PRT,324,6,239.1,1434.6,0.594595,853.0059869999999,No Deposit,Transient
City Hotel,2017-06-23,Online TA,DEU,159,6,189.0,1134.0,0.744681,844.468254,No Deposit,Transient
Resort Hotel,2017-06-24,Online TA,SVK,119,7,238.0,1666.0,0.76873,1280.70418,No Deposit,Transient
Resort Hotel,2017-06-24,Online TA,ITA,243,14,126.0,1764.0,0.710744,1253.752416,No Deposit,Transient
Resort Hotel,2017-06-24,Online TA,IRL,119,7,190.0,1330.0,0.76873,1022.4109000000001,No Deposit,Transient
